,article title,source,URL,hqlocation,date,Text,bag,positive_bag,negative_bag,month,year,Text_Lower,div_bag,pos_len,neg_len,div_len,text_len
0,New Song for Virginia's Children's Chorus,Coastal Virginia Magazine,https://coastalvirginiamag.com/article/new-song-for-virginia-childrens-chorus/,Virginia Beach,09/2022,"For Corbin Thomas Pinto, taking on the mantle of artistic director of the Virginia Children’s Chorus (VCC) this year is part of a lifetime of raising her voice with the VCC. “It feels very much like I’m coming home,” Pinto says.

Growing up in the area, Pinto was a member of the VCC for six years. As an adult, in addition to a life of choral leadership, teaching and performing, she directed the VCC Chamber Singers for five years and has been involved with various VCC projects for two decades.

Having recently celebrated its 30th anniversary season, the Virginia Children’s Chorus offers auditions in the fall for students in kindergarten through high school age. The students meet weekly for rehearsals and perform at venues throughout Coastal Virginia as part of four choir groups of varying levels. One of the most exciting aspects of membership in the Virginia Children’s Chorus is the opportunity to perform with professional arts organizations throughout the area like the Virginia Symphony and the Virginia Arts Festival.

Pinto says she’ll never forget performing with VCC in a production of Carl Orff’s Carmina Burana on New Year’s Eve of 2000 when she was a senior in high school. The Virginia Symphony Orchestra was playing, Pinto’s father was singing with the VSO chorus and the Governor’s School for the Arts was dancing Todd Rosenlieb’s choreography.

“With the dancers and the symphony and the choir it was just—it’s one of my favorite performing memories of all time,” she says.

Pinto also remembers traveling to England with the VCC, singing at beautiful cathedrals and performance spaces and staying with local singers. Over the years, the VCC has performed at small local venues and also at Sandler Center and Chrysler Hall, as well as touring to perform at renowned halls like Westminster Abbey and Carnegie Hall.

Pinto stresses that the VCC is an affordable way for children to get a strong musical education and quality vocal training. “We focus on making sure the kids are doing healthy singing so that their voices can be used for the rest of their lives,” she says.

“This is a group for everyone,” says Pinto. “We are all trying to raise not only students who are singing in a healthy way and who are smart musicians and can read music but also students who are empathetic and aware of how music can connect communities.”

The VCC will present its fall concert on November 20 and will be performing throughout the year.","['for', 'corbin', 'thomas', 'pinto', 'taking', 'on', 'the', 'mantle', 'of', 'artistic', 'director', 'of', 'the', 'virginia', 'children’s', 'chorus', '(vcc)', 'this', 'year', 'is', 'part', 'of', 'a', 'lifetime', 'of', 'raising', 'her', 'voice', 'with', 'the', 'vcc', '“it', 'feels', 'very', 'much', 'like', 'i’m', 'coming', 'home', '”', 'pinto', 'says', 'growing', 'up', 'in', 'the', 'area', 'pinto', 'was', 'a', 'member', 'of', 'the', 'vcc', 'for', 'six', 'years', 'as', 'an', 'adult', 'in', 'addition', 'to', 'a', 'life', 'of', 'choral', 'leadership', 'teaching', 'and', 'performing', 'she', 'directed', 'the', 'vcc', 'chamber', 'singers', 'for', 'five', 'years', 'and', 'has', 'been', 'involved', 'with', 'various', 'vcc', 'projects', 'for', 'two', 'decades', 'having', 'recently', 'celebrated', 'its', '30th', 'anniversary', 'season', 'the', 'virginia', 'children’s', 'chorus', 'offers', 'auditions', 'in', 'the', 'fall', 'for', 'students', 'in', 'kindergarten', 'through', 'high', 'school', 'age', 'the', 'students', 'meet', 'weekly', 'for', 'rehearsals', 'and', 'perform', 'at', 'venues', 'throughout', 'coastal', 'virginia', 'as', 'part', 'of', 'four', 'choir', 'groups', 'of', 'varying', 'levels', 'one', 'of', 'the', 'most', 'exciting', 'aspects', 'of', 'membership', 'in', 'the', 'virginia', 'children’s', 'chorus', 'is', 'the', 'opportunity', 'to', 'perform', 'with', 'professional', 'arts', 'organizations', 'throughout', 'the', 'area', 'like', 'the', 'virginia', 'symphony', 'and', 'the', 'virginia', 'arts', 'festival', 'pinto', 'says', 'she’ll', 'never', 'forget', 'performing', 'with', 'vcc', 'in', 'a', 'production', 'of', 'carl', 'orff’s', 'carmina', 'burana', 'on', 'new', 'year’s', 'eve', 'of', '2000', 'when', 'she', 'was', 'a', 'senior', 'in', 'high', 'school', 'the', 'virginia', 'symphony', 'orchestra', 'was', 'playing', 'pinto’s', 'father', 'was', 'singing', 'with', 'the', 'vso', 'chorus', 'and', 'the', 'governor’s', 'school', 'for', 'the', 'arts', 'was', 'dancing', 'todd', 'rosenlieb’s', 'choreography', '“with', 'the', 'dancers', 'and', 'the', 'symphony', 'and', 'the', 'choir', 'it', 'was', 'just—it’s', 'one', 'of', 'my', 'favorite', 'performing', 'memories', 'of', 'all', 'time', '”', 'she', 'says', 'pinto', 'also', 'remembers', 'traveling', 'to', 'england', 'with', 'the', 'vcc', 'singing', 'at', 'beautiful', 'cathedrals', 'and', 'performance', 'spaces', 'and', 'staying', 'with', 'local', 'singers', 'over', 'the', 'years', 'the', 'vcc', 'has', 'performed', 'at', 'small', 'local', 'venues', 'and', 'also', 'at', 'sandler', 'center', 'and', 'chrysler', 'hall', 'as', 'well', 'as', 'touring', 'to', 'perform', 'at', 'renowned', 'halls', 'like', 'westminster', 'abbey', 'and', 'carnegie', 'hall', 'pinto', 'stresses', 'that', 'the', 'vcc', 'is', 'an', 'affordable', 'way', 'for', 'children', 'to', 'get', 'a', 'strong', 'musical', 'education', 'and', 'quality', 'vocal', 'training', '“we', 'focus', 'on', 'making', 'sure', 'the', 'kids', 'are', 'doing', 'healthy', 'singing', 'so', 'that', 'their', 'voices', 'can', 'be', 'used', 'for', 'the', 'rest', 'of', 'their', 'lives', '”', 'she', 'says', '“this', 'is', 'a', 'group', 'for', 'everyone', '”', 'says', 'pinto', '“we', 'are', 'all', 'trying', 'to', 'raise', 'not', 'only', 'students', 'who', 'are', 'singing', 'in', 'a', 'healthy', 'way', 'and', 'who', 'are', 'smart', 'musicians', 'and', 'can', 'read', 'music', 'but', 'also', 'students', 'who', 'are', 'empathetic', 'and', 'aware', 'of', 'how', 'music', 'can', 'connect', 'communities', '”', 'the', 'vcc', 'will', 'present', 'its', 'fall', 'concert', 'on', 'november', '20', 'and', 'will', 'be', 'performing', 'throughout', 'the', 'year']","['celebrated', 'exciting', 'opportunity', 'favorite', 'beautiful', 'well', 'renowned', 'affordable', 'strong', 'sure', 'healthy', 'healthy', 'smart', 'will', 'will']",['trying'],9.0,2022.0,"for corbin thomas pinto  taking on the mantle of artistic director of the virginia children’s chorus (vcc) this year is part of a lifetime of raising her voice with the vcc  “it feels very much like i’m coming home ” pinto says 

growing up in the area  pinto was a member of the vcc for six years  as an adult  in addition to a life of choral leadership  teaching and performing  she directed the vcc chamber singers for five years and has been involved with various vcc projects for two decades 

having recently celebrated its 30th anniversary season  the virginia children’s chorus offers auditions in the fall for students in kindergarten through high school age  the students meet weekly for rehearsals and perform at venues throughout coastal virginia as part of four choir groups of varying levels  one of the most exciting aspects of membership in the virginia children’s chorus is the opportunity to perform with professional arts organizations throughout the area like the virginia symphony and the virginia arts festival 

pinto says she’ll never forget performing with vcc in a production of carl orff’s carmina burana on new year’s eve of 2000 when she was a senior in high school  the virginia symphony orchestra was playing  pinto’s father was singing with the vso chorus and the governor’s school for the arts was dancing todd rosenlieb’s choreography 

“with the dancers and the symphony and the choir it was just—it’s one of my favorite performing memories of all time ” she says 

pinto also remembers traveling to england with the vcc  singing at beautiful cathedrals and performance spaces and staying with local singers  over the years  the vcc has performed at small local venues and also at sandler center and chrysler hall  as well as touring to perform at renowned halls like westminster abbey and carnegie hall 

pinto stresses that the vcc is an affordable way for children to get a strong musical education and quality vocal training  “we focus on making sure the kids are doing healthy singing so that their voices can be used for the rest of their lives ” she says 

“this is a group for everyone ” says pinto  “we are all trying to raise not only students who are singing in a healthy way and who are smart musicians and can read music but also students who are empathetic and aware of how music can connect communities ”

the vcc will present its fall concert on november 20 and will be performing throughout the year ","['ate', 'be ', 'been', 'cat', 'che', 'hip', 'ice ', 'ion', 'lit', 'n', 'nd', 'rap', 'read', 'school', 'tea', 'tho', 'unity ', 'voice', 'yo', '', '', '', '', '', '']",15,1,25,420
1,Curtain Rises Again for Hampton Arts,Coastal Virginia Magazine,https://coastalvirginiamag.com/article/curtain-rises-again-for-hampton-arts/,Virginia Beach,09/2022,"Hampton Arts is back after a two and a half year intermission. Artistic Director Richard M. Parison Jr. says that this season is about reconnecting to the community after the interruptions caused by the pandemic.

“My goal was to make this 35th anniversary season a wide ranging, eclectic stew of artistry,” Parison says. “We wanted to represent the diversity of our audiences both in the galleries at the visual arts center and onstage at the American Theatre, be a touchstone to the community.”

Hampton Arts’ signature blend of big musical acts, bold theater, visual arts and family-friendly events will be on display, and Parison says that this season is about storytelling. Season highlights include Big Bad Voodoo Daddy, DC’s Reflecting Fools and The Three Musketeers at the American Theatre and Margaret Cho at the Hampton Coliseum. Hampton Arts’ Charles H. Taylor Visual Arts Center will present the second annual Hampton Holiday Fine Arts Bazaar and From the Sea to the Stars, a curated exhibition that will celebrate Hampton’s legacy of nautical and aerospace exploration.

Parison is especially excited about the way Hampton Arts’ new Studio Theatre will add to the offerings. “I think that’s going to be a really exciting incubator for local and regional artists to perform, whether it’s jazz, comedy, improv or education,” he says.

The Life is a Cabaret series will christen the space, featuring performances from drag legend Coco Peru, jazz artist Liz Terrell and vocal powerhouse Desiree Roots presenting a concert in tribute to the music of Nancy Wilson.

“There’s just no gap between the actor and the audience in a studio theater,” says Parison.

He says that kind of intimacy, bringing audiences and performers in close communion, is one of the hallmarks of what Hampton Arts is trying to do at the American Theatre and its other performance spaces.

“We’re the boutique farm-to-table restaurant,” he says. “We want to take excellent artists, whether they’re national or local or regional and present them in a way that’s up close and personal.”

That focus on the local and regional as well as national acts led the American Theatre to put together its Lighthouse Series, which is named after the Point Comfort Lighthouse in Hampton and focuses on local artists. Among this season’s offerings in the Lighthouse Series are area favorites Riddick Dance Company, the Hampton Roads Philharmonic and Soundscapes/Peninsula Youth Orchestra].

“For 35 years, we have always been focused on providing the best in performing and visual arts—from around the world and around the corner,” says Parison.","['hampton', 'arts', 'is', 'back', 'after', 'a', 'two', 'and', 'a', 'half', 'year', 'intermission', 'artistic', 'director', 'richard', 'm', 'parison', 'jr', 'says', 'that', 'this', 'season', 'is', 'about', 'reconnecting', 'to', 'the', 'community', 'after', 'the', 'interruptions', 'caused', 'by', 'the', 'pandemic', '“my', 'goal', 'was', 'to', 'make', 'this', '35th', 'anniversary', 'season', 'a', 'wide', 'ranging', 'eclectic', 'stew', 'of', 'artistry', '”', 'parison', 'says', '“we', 'wanted', 'to', 'represent', 'the', 'diversity', 'of', 'our', 'audiences', 'both', 'in', 'the', 'galleries', 'at', 'the', 'visual', 'arts', 'center', 'and', 'onstage', 'at', 'the', 'american', 'theatre', 'be', 'a', 'touchstone', 'to', 'the', 'community', '”', 'hampton', 'arts’', 'signature', 'blend', 'of', 'big', 'musical', 'acts', 'bold', 'theater', 'visual', 'arts', 'and', 'family-friendly', 'events', 'will', 'be', 'on', 'display', 'and', 'parison', 'says', 'that', 'this', 'season', 'is', 'about', 'storytelling', 'season', 'highlights', 'include', 'big', 'bad', 'voodoo', 'daddy', 'dc’s', 'reflecting', 'fools', 'and', 'the', 'three', 'musketeers', 'at', 'the', 'american', 'theatre', 'and', 'margaret', 'cho', 'at', 'the', 'hampton', 'coliseum', 'hampton', 'arts’', 'charles', 'h', 'taylor', 'visual', 'arts', 'center', 'will', 'present', 'the', 'second', 'annual', 'hampton', 'holiday', 'fine', 'arts', 'bazaar', 'and', 'from', 'the', 'sea', 'to', 'the', 'stars', 'a', 'curated', 'exhibition', 'that', 'will', 'celebrate', 'hampton’s', 'legacy', 'of', 'nautical', 'and', 'aerospace', 'exploration', 'parison', 'is', 'especially', 'excited', 'about', 'the', 'way', 'hampton', 'arts’', 'new', 'studio', 'theatre', 'will', 'add', 'to', 'the', 'offerings', '“i', 'think', 'that’s', 'going', 'to', 'be', 'a', 'really', 'exciting', 'incubator', 'for', 'local', 'and', 'regional', 'artists', 'to', 'perform', 'whether', 'it’s', 'jazz', 'comedy', 'improv', 'or', 'education', '”', 'he', 'says', 'the', 'life', 'is', 'a', 'cabaret', 'series', 'will', 'christen', 'the', 'space', 'featuring', 'performances', 'from', 'drag', 'legend', 'coco', 'peru', 'jazz', 'artist', 'liz', 'terrell', 'and', 'vocal', 'powerhouse', 'desiree', 'roots', 'presenting', 'a', 'concert', 'in', 'tribute', 'to', 'the', 'music', 'of', 'nancy', 'wilson', '“there’s', 'just', 'no', 'gap', 'between', 'the', 'actor', 'and', 'the', 'audience', 'in', 'a', 'studio', 'theater', '”', 'says', 'parison', 'he', 'says', 'that', 'kind', 'of', 'intimacy', 'bringing', 'audiences', 'and', 'performers', 'in', 'close', 'communion', 'is', 'one', 'of', 'the', 'hallmarks', 'of', 'what', 'hampton', 'arts', 'is', 'trying', 'to', 'do', 'at', 'the', 'american', 'theatre', 'and', 'its', 'other', 'performance', 'spaces', '“we’re', 'the', 'boutique', 'farm-to-table', 'restaurant', '”', 'he', 'says', '“we', 'want', 'to', 'take', 'excellent', 'artists', 'whether', 'they’re', 'national', 'or', 'local', 'or', 'regional', 'and', 'present', 'them', 'in', 'a', 'way', 'that’s', 'up', 'close', 'and', 'personal', '”', 'that', 'focus', 'on', 'the', 'local', 'and', 'regional', 'as', 'well', 'as', 'national', 'acts', 'led', 'the', 'american', 'theatre', 'to', 'put', 'together', 'its', 'lighthouse', 'series', 'which', 'is', 'named', 'after', 'the', 'point', 'comfort', 'lighthouse', 'in', 'hampton', 'and', 'focuses', 'on', 'local', 'artists', 'among', 'this', 'season’s', 'offerings', 'in', 'the', 'lighthouse', 'series', 'are', 'area', 'favorites', 'riddick', 'dance', 'company', 'the', 'hampton', 'roads', 'philharmonic', 'and', 'soundscapes/peninsula', 'youth', 'orchestra]', '“for', '35', 'years', 'we', 'have', 'always', 'been', 'focused', 'on', 'providing', 'the', 'best', 'in', 'performing', 'and', 'visual', 'arts—from', 'around', 'the', 'world', 'and', 'around', 'the', 'corner', '”', 'says', 'parison']","['wide', 'eclectic', 'bold', 'will', 'will', 'fine', 'stars', 'will', 'especially', 'excited', 'will', 'exciting', 'will', 'tribute', 'just', 'kind', 'intimacy', 'excellent', 'well', 'dance']","['bad', 'comedy', 'close', 'trying', 'close']",9.0,2022.0,"hampton arts is back after a two and a half year intermission  artistic director richard m  parison jr  says that this season is about reconnecting to the community after the interruptions caused by the pandemic 

“my goal was to make this 35th anniversary season a wide ranging  eclectic stew of artistry ” parison says  “we wanted to represent the diversity of our audiences both in the galleries at the visual arts center and onstage at the american theatre  be a touchstone to the community ”

hampton arts’ signature blend of big musical acts  bold theater  visual arts and family-friendly events will be on display  and parison says that this season is about storytelling  season highlights include big bad voodoo daddy  dc’s reflecting fools and the three musketeers at the american theatre and margaret cho at the hampton coliseum  hampton arts’ charles h  taylor visual arts center will present the second annual hampton holiday fine arts bazaar and from the sea to the stars  a curated exhibition that will celebrate hampton’s legacy of nautical and aerospace exploration 

parison is especially excited about the way hampton arts’ new studio theatre will add to the offerings  “i think that’s going to be a really exciting incubator for local and regional artists to perform  whether it’s jazz  comedy  improv or education ” he says 

the life is a cabaret series will christen the space  featuring performances from drag legend coco peru  jazz artist liz terrell and vocal powerhouse desiree roots presenting a concert in tribute to the music of nancy wilson 

“there’s just no gap between the actor and the audience in a studio theater ” says parison 

he says that kind of intimacy  bringing audiences and performers in close communion  is one of the hallmarks of what hampton arts is trying to do at the american theatre and its other performance spaces 

“we’re the boutique farm-to-table restaurant ” he says  “we want to take excellent artists  whether they’re national or local or regional and present them in a way that’s up close and personal ”

that focus on the local and regional as well as national acts led the american theatre to put together its lighthouse series  which is named after the point comfort lighthouse in hampton and focuses on local artists  among this season’s offerings in the lighthouse series are area favorites riddick dance company  the hampton roads philharmonic and soundscapes/peninsula youth orchestra] 

“for 35 years  we have always been focused on providing the best in performing and visual arts—from around the world and around the corner ” says parison ","['ate', 'be ', 'been', 'cap', 'cat', 'che', 'dis', 'diversity', 'drag ', 'fam', 'ion', 'n', 'nd', 'power', 'tho', 'unity ', 'yo', '', '', '', '', '', '']",20,5,23,428
