"","GEOID","NAME","variable","estimate","moe","year"
"78","51710","Norfolk city, Virginia","S1901_C01_012",49146,990,2018
"79","51735","Poquoson city, Virginia","S1901_C01_012",96831,4475,2018
"80","51700","Newport News city, Virginia","S1901_C01_012",51884,1249,2018
"81","51073","Gloucester County, Virginia","S1901_C01_012",70537,5663,2019
"82","51093","Isle of Wight County, Virginia","S1901_C01_012",73991,3862,2019
"83","51095","James City County, Virginia","S1901_C01_012",87678,3010,2019
"84","51175","Southampton County, Virginia","S1901_C01_012",61348,6838,2019
"85","51199","York County, Virginia","S1901_C01_012",92069,3645,2019
"86","51740","Portsmouth city, Virginia","S1901_C01_012",52175,1675,2019
"87","51650","Hampton city, Virginia","S1901_C01_012",56287,1252,2019
"88","51710","Norfolk city, Virginia","S1901_C01_012",51590,1086,2019
"89","51700","Newport News city, Virginia","S1901_C01_012",53215,1607,2019
"90","51550","Chesapeake city, Virginia","S1901_C01_012",78640,2645,2019
"91","51115","Mathews County, Virginia","S1901_C01_012",64237,13799,2019
"92","51620","Franklin city, Virginia","S1901_C01_012",40417,8465,2019
"93","51830","Williamsburg city, Virginia","S1901_C01_012",57463,5298,2019
"94","51800","Suffolk city, Virginia","S1901_C01_012",74884,2756,2019
"95","51810","Virginia Beach city, Virginia","S1901_C01_012",76610,1188,2019
"96","51735","Poquoson city, Virginia","S1901_C01_012",97118,4408,2019
"97","51175","Southampton County, Virginia","S1901_C01_012",63034,5660,2020
"98","51073","Gloucester County, Virginia","S1901_C01_012",71649,4174,2020
"99","51115","Mathews County, Virginia","S1901_C01_012",74489,16802,2020
"100","51095","James City County, Virginia","S1901_C01_012",91675,4509,2020
"101","51093","Isle of Wight County, Virginia","S1901_C01_012",77870,5219,2020
"102","51199","York County, Virginia","S1901_C01_012",93356,2997,2020
"103","51700","Newport News city, Virginia","S1901_C01_012",54511,1746,2020
"104","51800","Suffolk city, Virginia","S1901_C01_012",79899,3566,2020
"105","51710","Norfolk city, Virginia","S1901_C01_012",53026,1033,2020
"106","51740","Portsmouth city, Virginia","S1901_C01_012",53213,1956,2020
"107","51550","Chesapeake city, Virginia","S1901_C01_012",81261,2200,2020
"108","51650","Hampton city, Virginia","S1901_C01_012",57041,2127,2020
"109","51620","Franklin city, Virginia","S1901_C01_012",49811,5437,2020
"110","51830","Williamsburg city, Virginia","S1901_C01_012",59288,5801,2020
"111","51735","Poquoson city, Virginia","S1901_C01_012",100696,6185,2020
"112","51810","Virginia Beach city, Virginia","S1901_C01_012",78136,1419,2020
